"","AP","AP50","AP75","APS","APM","APL","AR1","AR10","AR100","ARS","ARM","ARL","date"
"animal: cat","0.689","0.922","0.821","0.238","0.588","0.736","0.629","0.751","0.755","0.45","0.685","0.79","2016-09-16"
"animal: bear","0.677","0.921","0.786","0.235","0.656","0.7","0.566","0.749","0.753","0.613","0.728","0.765","2016-09-16"
"vehicle: bus","0.668","0.835","0.736","0.184","0.559","0.828","0.503","0.722","0.73","0.324","0.674","0.864","2016-09-16"
"furniture: toilet","0.664","0.892","0.757","0.17","0.576","0.717","0.627","0.762","0.771","0.395","0.733","0.805","2016-09-16"
"outdoor: stop sign","0.66","0.795","0.721","0.311","0.666","0.879","0.648","0.731","0.737","0.447","0.783","0.919","2016-09-16"
"outdoor: fire hydrant","0.654","0.87","0.801","0.314","0.641","0.798","0.675","0.701","0.702","0.372","0.704","0.833","2016-09-16"
"vehicle: train","0.642","0.855","0.739","0.175","0.394","0.716","0.589","0.712","0.72","0.357","0.57","0.772","2016-09-16"
"electronic: laptop","0.639","0.824","0.738","0.219","0.561","0.769","0.558","0.717","0.721","0.352","0.682","0.826","2016-09-16"
"electronic: tv","0.609","0.798","0.704","0.188","0.526","0.72","0.581","0.721","0.723","0.377","0.679","0.799","2016-09-16"
"animal: elephant","0.606","0.892","0.717","0.359","0.587","0.697","0.27","0.63","0.668","0.44","0.659","0.751","2016-09-16"
"animal: dog","0.59","0.863","0.701","0.241","0.571","0.692","0.558","0.676","0.679","0.353","0.675","0.766","2016-09-16"
"food: pizza","0.578","0.786","0.635","0.172","0.498","0.697","0.429","0.692","0.701","0.336","0.657","0.799","2016-09-16"
"sports: tennis racket","0.567","0.827","0.682","0.319","0.71","0.741","0.529","0.62","0.621","0.388","0.76","0.783","2016-09-16"
"appliance: refrigerator","0.542","0.744","0.608","0","0.283","0.611","0.581","0.658","0.661","0","0.444","0.716","2016-09-16"
"appliance: microwave","0.54","0.757","0.617","0.317","0.541","0.589","0.613","0.674","0.674","0.542","0.667","0.705","2016-09-16"
"animal: zebra","0.526","0.843","0.625","0.214","0.518","0.628","0.246","0.575","0.594","0.327","0.595","0.683","2016-09-16"
"food: donut","0.52","0.69","0.599","0.311","0.538","0.756","0.132","0.513","0.653","0.442","0.695","0.85","2016-09-16"
"animal: [all]","0.511","0.802","0.582","0.241","0.521","0.65","0.327","0.563","0.587","0.376","0.607","0.714","2016-09-16"
"sports: frisbee","0.502","0.733","0.574","0.374","0.69","0.784","0.53","0.587","0.587","0.45","0.774","0.85","2016-09-16"
"electronic: keyboard","0.5","0.719","0.573","0.096","0.509","0.678","0.475","0.594","0.598","0.217","0.617","0.756","2016-09-16"
"electronic: mouse","0.493","0.722","0.581","0.426","0.608","0.686","0.503","0.591","0.591","0.512","0.719","0.795","2016-09-16"
"indoor: clock","0.49","0.742","0.557","0.379","0.567","0.617","0.44","0.586","0.589","0.471","0.663","0.719","2016-09-16"
"animal: giraffe","0.484","0.861","0.531","0.302","0.433","0.546","0.314","0.551","0.561","0.387","0.507","0.62","2016-09-16"
"electronic: [all]","0.478","0.693","0.534","0.214","0.524","0.725","0.445","0.577","0.584","0.341","0.668","0.803","2016-09-16"
"vehicle: airplane","0.463","0.836","0.491","0.211","0.46","0.594","0.364","0.522","0.534","0.31","0.542","0.649","2016-09-16"
"food: cake","0.445","0.632","0.519","0.1","0.321","0.615","0.375","0.58","0.628","0.356","0.567","0.745","2016-09-16"
"outdoor: [all]","0.443","0.621","0.491","0.195","0.539","0.684","0.401","0.513","0.52","0.272","0.648","0.76","2016-09-16"
"outdoor: parking meter","0.443","0.575","0.498","0.122","0.664","0.769","0.33","0.51","0.514","0.164","0.789","0.843","2016-09-16"
"indoor: teddy bear","0.442","0.709","0.478","0.121","0.339","0.613","0.291","0.524","0.575","0.301","0.506","0.716","2016-09-16"
"animal: cow","0.441","0.728","0.507","0.267","0.493","0.659","0.163","0.476","0.524","0.364","0.579","0.729","2016-09-16"
"accessory: umbrella","0.433","0.674","0.479","0.207","0.505","0.697","0.235","0.486","0.522","0.304","0.603","0.766","2016-09-16"
"kitchen: cup","0.429","0.609","0.479","0.227","0.561","0.753","0.293","0.542","0.552","0.351","0.704","0.84","2016-09-16"
"person: [all]","0.42","0.738","0.45","0.208","0.509","0.647","0.166","0.448","0.494","0.288","0.598","0.717","2016-09-16"
"person: person","0.42","0.738","0.45","0.208","0.509","0.647","0.166","0.448","0.494","0.288","0.598","0.717","2016-09-16"
"indoor: vase","0.419","0.606","0.485","0.2","0.415","0.664","0.324","0.538","0.56","0.343","0.608","0.763","2016-09-16"
"vehicle: [all]","0.418","0.677","0.441","0.167","0.398","0.584","0.318","0.498","0.515","0.293","0.53","0.666","2016-09-16"
"animal: horse","0.415","0.782","0.404","0.166","0.392","0.558","0.267","0.496","0.509","0.302","0.488","0.639","2016-09-16"
"appliance: [all]","0.413","0.611","0.462","0.159","0.348","0.518","0.507","0.586","0.589","0.337","0.53","0.683","2016-09-16"
"animal: sheep","0.397","0.682","0.437","0.243","0.498","0.623","0.102","0.4","0.473","0.319","0.584","0.676","2016-09-16"
"vehicle: truck","0.395","0.6","0.44","0.171","0.347","0.589","0.382","0.587","0.601","0.427","0.607","0.72","2016-09-16"
"accessory: suitcase","0.379","0.597","0.417","0.108","0.386","0.554","0.241","0.487","0.535","0.267","0.554","0.699","2016-09-16"
"furniture: bed","0.376","0.689","0.351","0.001","0.143","0.398","0.437","0.513","0.517","0.06","0.431","0.528","2016-09-16"
"appliance: oven","0.373","0.612","0.394","0.133","0.277","0.443","0.438","0.542","0.547","0.317","0.482","0.594","2016-09-16"
"[all]: [all]","0.37","0.592","0.396","0.162","0.406","0.549","0.31","0.469","0.489","0.281","0.553","0.673","2016-09-16"
"vehicle: car","0.363","0.621","0.382","0.234","0.559","0.613","0.169","0.436","0.459","0.321","0.666","0.722","2016-09-16"
"kitchen: bowl","0.361","0.515","0.409","0.178","0.414","0.515","0.286","0.544","0.561","0.352","0.629","0.721","2016-09-16"
"food: sandwich","0.359","0.531","0.4","0.038","0.218","0.495","0.354","0.578","0.59","0.219","0.455","0.734","2016-09-16"
"electronic: cell phone","0.357","0.539","0.385","0.159","0.499","0.787","0.326","0.452","0.478","0.28","0.682","0.84","2016-09-16"
"kitchen: wine glass","0.353","0.639","0.35","0.194","0.489","0.61","0.182","0.415","0.439","0.259","0.591","0.721","2016-09-16"
"vehicle: motorcycle","0.351","0.654","0.353","0.123","0.321","0.551","0.219","0.4","0.423","0.206","0.414","0.613","2016-09-16"
"furniture: couch","0.344","0.599","0.352","0.001","0.216","0.388","0.369","0.523","0.528","0.286","0.448","0.554","2016-09-16"
"appliance: sink","0.336","0.579","0.35","0.103","0.385","0.453","0.368","0.482","0.49","0.202","0.553","0.617","2016-09-16"
"food: [all]","0.335","0.504","0.367","0.112","0.314","0.523","0.216","0.457","0.522","0.271","0.54","0.699","2016-09-16"
"sports: sports ball","0.33","0.52","0.373","0.277","0.63","0.525","0.314","0.386","0.4","0.335","0.723","0.811","2016-09-16"
"sports: baseball glove","0.329","0.533","0.375","0.237","0.604","0.541","0.333","0.404","0.404","0.291","0.71","0.727","2016-09-16"
"furniture: [all]","0.321","0.554","0.322","0.066","0.253","0.389","0.339","0.47","0.482","0.216","0.457","0.556","2016-09-16"
"kitchen: bottle","0.316","0.528","0.339","0.192","0.494","0.579","0.2","0.413","0.441","0.301","0.636","0.745","2016-09-16"
"sports: surfboard","0.314","0.611","0.294","0.141","0.428","0.601","0.282","0.394","0.405","0.213","0.534","0.699","2016-09-16"
"sports: [all]","0.305","0.553","0.299","0.192","0.461","0.503","0.303","0.386","0.393","0.264","0.564","0.638","2016-09-16"
