"","AP","AP50","AP75","APS","APM","APL","AR1","AR10","AR100","ARS","ARM","ARL","date"
"outdoor: stop sign","0.661","0.812","0.732","0.309","0.673","0.878","0.658","0.731","0.739","0.471","0.77","0.916","2016-09-17"
"animal: bear","0.643","0.902","0.75","0.248","0.619","0.666","0.557","0.721","0.721","0.563","0.701","0.733","2016-09-17"
"animal: cat","0.638","0.909","0.748","0.198","0.522","0.687","0.604","0.715","0.719","0.331","0.658","0.757","2016-09-17"
"outdoor: fire hydrant","0.631","0.871","0.753","0.295","0.632","0.761","0.66","0.69","0.69","0.384","0.696","0.809","2016-09-17"
"vehicle: bus","0.613","0.794","0.682","0.141","0.475","0.78","0.472","0.66","0.666","0.247","0.579","0.818","2016-09-17"
"furniture: toilet","0.606","0.87","0.677","0.156","0.518","0.656","0.598","0.738","0.742","0.377","0.725","0.766","2016-09-17"
"vehicle: train","0.603","0.839","0.677","0.251","0.324","0.674","0.559","0.677","0.685","0.357","0.509","0.74","2016-09-17"
"animal: elephant","0.577","0.879","0.659","0.307","0.541","0.681","0.269","0.608","0.645","0.411","0.617","0.742","2016-09-17"
"food: pizza","0.55","0.781","0.605","0.122","0.453","0.679","0.417","0.676","0.687","0.298","0.645","0.789","2016-09-17"
"electronic: tv","0.539","0.755","0.618","0.149","0.489","0.622","0.542","0.668","0.669","0.342","0.638","0.732","2016-09-17"
"animal: dog","0.534","0.822","0.606","0.185","0.521","0.629","0.516","0.628","0.629","0.295","0.635","0.713","2016-09-17"
"electronic: laptop","0.534","0.754","0.595","0.191","0.448","0.657","0.494","0.64","0.643","0.297","0.591","0.753","2016-09-17"
"animal: zebra","0.508","0.84","0.566","0.176","0.478","0.626","0.252","0.558","0.578","0.276","0.572","0.683","2016-09-17"
"sports: tennis racket","0.505","0.808","0.567","0.257","0.649","0.662","0.483","0.565","0.567","0.337","0.705","0.715","2016-09-17"
"indoor: clock","0.497","0.77","0.557","0.376","0.576","0.643","0.445","0.613","0.621","0.497","0.695","0.77","2016-09-17"
"electronic: mouse","0.493","0.729","0.586","0.425","0.6","0.713","0.512","0.597","0.597","0.519","0.719","0.824","2016-09-17"
"appliance: microwave","0.493","0.727","0.518","0.282","0.482","0.554","0.569","0.634","0.634","0.463","0.614","0.688","2016-09-17"
"sports: frisbee","0.489","0.739","0.558","0.369","0.659","0.739","0.518","0.596","0.597","0.483","0.745","0.875","2016-09-17"
"electronic: keyboard","0.483","0.705","0.552","0.14","0.477","0.659","0.467","0.601","0.603","0.242","0.615","0.761","2016-09-17"
"animal: giraffe","0.481","0.848","0.497","0.255","0.391","0.566","0.327","0.551","0.557","0.319","0.477","0.642","2016-09-17"
"animal: [all]","0.479","0.786","0.519","0.208","0.473","0.619","0.32","0.538","0.564","0.338","0.574","0.692","2016-09-17"
"food: donut","0.465","0.632","0.535","0.267","0.474","0.713","0.129","0.502","0.623","0.401","0.661","0.843","2016-09-17"
"vehicle: airplane","0.454","0.801","0.483","0.209","0.444","0.593","0.373","0.524","0.535","0.306","0.541","0.653","2016-09-17"
"appliance: refrigerator","0.447","0.674","0.482","0","0.224","0.5","0.515","0.584","0.586","0","0.419","0.63","2016-09-17"
"outdoor: [all]","0.432","0.63","0.467","0.194","0.511","0.654","0.395","0.513","0.522","0.299","0.613","0.741","2016-09-17"
"electronic: [all]","0.431","0.655","0.474","0.196","0.474","0.681","0.421","0.552","0.558","0.327","0.635","0.778","2016-09-17"
"outdoor: parking meter","0.428","0.576","0.466","0.116","0.594","0.768","0.335","0.504","0.504","0.19","0.691","0.836","2016-09-17"
"animal: cow","0.406","0.712","0.429","0.236","0.451","0.614","0.159","0.452","0.514","0.373","0.559","0.7","2016-09-17"
"kitchen: cup","0.402","0.6","0.441","0.205","0.52","0.732","0.279","0.533","0.544","0.36","0.673","0.835","2016-09-17"
"food: cake","0.4","0.584","0.474","0.083","0.284","0.559","0.363","0.569","0.613","0.257","0.574","0.735","2016-09-17"
"indoor: vase","0.387","0.587","0.43","0.187","0.371","0.63","0.306","0.53","0.548","0.346","0.577","0.753","2016-09-17"
"person: [all]","0.384","0.735","0.362","0.183","0.442","0.61","0.158","0.418","0.475","0.304","0.547","0.679","2016-09-17"
"person: person","0.384","0.735","0.362","0.183","0.442","0.61","0.158","0.418","0.475","0.304","0.547","0.679","2016-09-17"
"sports: sports ball","0.384","0.643","0.416","0.341","0.625","0.566","0.371","0.477","0.494","0.448","0.726","0.772","2016-09-17"
"accessory: umbrella","0.374","0.612","0.4","0.175","0.446","0.594","0.217","0.452","0.488","0.282","0.559","0.727","2016-09-17"
"animal: sheep","0.369","0.679","0.364","0.237","0.443","0.571","0.1","0.376","0.46","0.341","0.534","0.645","2016-09-17"
"appliance: [all]","0.367","0.576","0.387","0.125","0.312","0.468","0.449","0.529","0.531","0.251","0.492","0.625","2016-09-17"
"vehicle: [all]","0.367","0.633","0.367","0.153","0.326","0.517","0.293","0.455","0.473","0.272","0.464","0.612","2016-09-17"
"animal: horse","0.364","0.733","0.31","0.113","0.323","0.516","0.255","0.454","0.458","0.246","0.427","0.599","2016-09-17"
"indoor: teddy bear","0.364","0.662","0.365","0.083","0.269","0.513","0.255","0.461","0.517","0.257","0.463","0.64","2016-09-17"
"sports: baseball glove","0.335","0.567","0.348","0.252","0.578","0.55","0.339","0.428","0.435","0.343","0.68","0.736","2016-09-17"
"kitchen: bowl","0.335","0.504","0.373","0.169","0.383","0.473","0.276","0.531","0.545","0.357","0.607","0.687","2016-09-17"
"[all]: [all]","0.333","0.564","0.341","0.145","0.358","0.499","0.291","0.444","0.466","0.262","0.517","0.646","2016-09-17"
"vehicle: truck","0.329","0.542","0.359","0.138","0.271","0.505","0.344","0.528","0.537","0.38","0.535","0.651","2016-09-17"
